"","go_ids","Freq"
"987","GO:0009174",84
"988","GO:0009176",40
"989","GO:0009177",40
"990","GO:0009179",153
"991","GO:0009185",153
"992","GO:0009186",80
"993","GO:0009189",80
"994","GO:0009196",80
"995","GO:0009197",80
"996","GO:0009199",841
"997","GO:0009200",321
"998","GO:0009201",595
"999","GO:0009202",80
"1000","GO:0009203",80
"1001","GO:0009204",240
"1002","GO:0009205",761
"1003","GO:0009206",595
"1004","GO:0009208",80
"1005","GO:0009210",80
"1006","GO:0009211",241
"1007","GO:0009212",80
"1008","GO:0009213",160
"1009","GO:0009215",160
"1010","GO:0009217",160
"1011","GO:0009218",164
"1012","GO:0009219",241
"1013","GO:0009220",84
"1014","GO:0009221",120
"1015","GO:0009222",80
"1016","GO:0009223",160
"1017","GO:0009224",80
"1018","GO:0009225",46
"1019","GO:0009226",45
"1020","GO:0009228",160
"1021","GO:0009229",80
"1022","GO:0009231",126
"1023","GO:0009244",281
"1024","GO:0009245",205
"1025","GO:0009247",205
"1026","GO:0009249",276
"1027","GO:0009252",607
"1028","GO:0009253",161
"1029","GO:0009254",124
"1030","GO:0009259",1967
"1031","GO:0009260",1561
"1032","GO:0009261",80
"1033","GO:0009262",444
"1034","GO:0009263",120
"1035","GO:0009264",363
"1036","GO:0009265",120
"1037","GO:0009266",1290
"1038","GO:0009267",241
"1039","GO:0009268",76
"1040","GO:0009269",76
"1041","GO:0009272",76
"1042","GO:0009273",608
"1043","GO:0009274",159
"1044","GO:0009276",79
"1045","GO:0009279",143
"1046","GO:0009288",521
"1047","GO:0009289",80
"1048","GO:0009295",81
"1049","GO:0009297",80
"1050","GO:0009305",80
"1051","GO:0009306",243
"1052","GO:0009308",354
"1053","GO:0009309",354
"1054","GO:0009311",448
"1055","GO:0009312",448
"1056","GO:0009314",1824
"1057","GO:0009319",82
"1058","GO:0009328",80
"1059","GO:0009338",12
"1060","GO:0009360",207
"1061","GO:0009374",80
"1062","GO:0009376",241
"1063","GO:0009378",81
"1064","GO:0009379",3
"1065","GO:0009380",202
"1066","GO:0009381",120
"1067","GO:0009383",116
"1068","GO:0009392",81
"1069","GO:0009394",321
"1070","GO:0009396",158
"1071","GO:0009403",1
"1072","GO:0009404",1
"1073","GO:0009405",147
"1074","GO:0009408",884
"1075","GO:0009409",324
"1076","GO:0009411",362
"1077","GO:0009414",76
"1078","GO:0009415",76
"1079","GO:0009416",362
"1080","GO:0009420",80
"1081","GO:0009421",80
"1082","GO:0009423",80
"1083","GO:0009424",80
"1084","GO:0009425",241
"1085","GO:0009432",408
"1086","GO:0009435",163
"1087","GO:0009438",80
"1088","GO:0009443",81
"1089","GO:0009445",36
"1090","GO:0009446",36
"1091","GO:0009451",2274
"1092","GO:0009486",82
"1093","GO:0009507",233
"1094","GO:0009526",76
"1095","GO:0009532",232
"1096","GO:0009534",76
"1097","GO:0009535",76
"1098","GO:0009536",233
"1099","GO:0009570",232
"1100","GO:0009579",76
"1101","GO:0009605",1122
"1102","GO:0009606",80
"1103","GO:0009607",318
"1104","GO:0009611",30
"1105","GO:0009615",79
"1106","GO:0009617",156
"1107","GO:0009620",37
"1108","GO:0009624",36
"1109","GO:0009628",3033
"1110","GO:0009629",80
"1111","GO:0009630",80
"1112","GO:0009631",76
"1113","GO:0009635",80
"1114","GO:0009636",319
"1115","GO:0009651",3
"1116","GO:0009653",126
"1117","GO:0009675",44
"1118","GO:0009719",327
"1119","GO:0009725",159
"1120","GO:0009735",80
"1121","GO:0009737",76
"1122","GO:0009739",3
"1123","GO:0009755",3
"1124","GO:0009790",41
"1125","GO:0009791",120
"1126","GO:0009889",1846
"1127","GO:0009890",907
"1128","GO:0009891",410
"1129","GO:0009892",1277
"1130","GO:0009893",696
"1131","GO:0009894",157
"1132","GO:0009896",120
"1133","GO:0009897",164
"1134","GO:0009898",83
"1135","GO:0009908",79
"1136","GO:0009927",79
"1137","GO:0009937",3
"1138","GO:0009939",3
"1139","GO:0009941",76
"1140","GO:0009966",10
"1141","GO:0009967",10
